probIn scale
0.3741696 0.2153222
0.4298618 0.407026
0.3756708 0.483284
0.3028325 0.6362221
0.2536763 0.4070481
0.4146661 0.3156068
0.2835177 0.3895911
0.3661955 0.2225744
0.2584041 0.3058602
0.3889079 0.2480597
0.4559287 0.1197566
0.425781 0.09533126
0.284613 0.1365319
0.3734166 0.1394631
0.3328878 0.1822547
0.3490495 0.3486701
0.4281153 0.1332923
0.2647404 0.1684308
0.3292635 0.2499677
0.3261454 0.1762912
0.3706215 0.1372945
0.3336567 0.1130519
0.2094862 0.06547113
0.4183515 0.04605839
0.5180345 0.0392234
0.4277556 0.04345335
0.4269881 0.13963
0.4083877 0.1213603
0.514485 0.1828853
0.4729532 0.3034559
0.4349082 0.6060091
0.374872 0.7180712
0.3470086 1.02422
0.3150794 1.071934
0.3768288 1.414868
0.3371609 0.5072461
0.4901905 1.058717
0.3621475 0.9147615
0.2692372 0.6632467
0.4870848 0.5269344
0.4345653 0.5298832
0.2849435 0.4864828
0.4209051 0.5317126
0.2607935 0.6351402
0.4562523 0.4584736
0.2945122 0.606835
0.283455 0.3975984
0.3198031 0.2192135
0.5669199 0.6949487
0.4165262 0.3750519
0.5445135 0.3874943
0.4918379 0.3193474
0.5161244 0.1408918
0.2391532 0.1469528
0.4448705 0.2963199
0.2924291 0.4861876
0.3057836 0.4771354
0.2392765 0.3758455
0.4098285 0.5051368
0.4879264 0.3481247
0.3596879 0.3565848
0.288392 0.8458928
0.2050301 0.7489418
0.3708041 0.4938293
0.2883609 0.4311672
0.2380203 0.6781598
0.251484 1.955047
0.54762 3.131457
0.5094314 1.836506
0.5616196 1.452374
0.3355351 0.4708433
0.3859731 0.5269034
0.4748403 0.4056147
0.1748944 0.3700105
0.5599383 0.2209343
0.3498403 0.4487591
0.4746051 0.509533
0.434979 0.3097826
0.2594406 0.6374054
0.3388555 0.3796721
0.4886244 0.4845084
0.3780514 0.4718914
0.2634675 0.6984988
0.3401879 0.3677382
0.3093285 0.4495234
0.3956484 0.6876258
0.5161648 0.6485189
0.4048334 1.070309
0.2824988 0.7471332
0.2978039 0.8626063
0.3382354 0.8213647
0.2459117 1.636313
0.3086422 0.7587489
0.3625779 1.393853
0.1944217 0.6744477
0.3506626 0.5876176
0.3118013 0.2983143
0.2288278 0.3720976
0.3779831 0.35122
0.3955709 0.4887893
0.2775465 0.2839725
0.391082 0.2785206
0.3834621 0.267435
0.2271118 0.2540959
0.4462614 0.1722479
0.3653241 0.1966274
0.3876283 0.1393997
0.2777771 0.1759629
0.2624073 0.2870286
0.3527552 0.1440852
0.2376424 0.07816244
0.5632553 0.1285524
0.4269352 0.0965964
0.4893884 0.06932973
0.3665053 0.07518557
0.4499591 0.07534334
0.5753023 0.08301618
0.3371357 0.07935136
0.4033976 0.1024851
0.503249 0.1269106
0.4008392 0.3999141
0.425675 0.5244204
0.3236937 1.206685
0.4606697 1.26418
0.1948795 2.18939
0.3535286 1.263471
0.2949026 0.6894753
0.3610989 0.5257
0.4685674 0.6272209
0.4432877 0.3342091
0.3743374 0.3134969
0.2986779 0.3053596
0.3286425 0.3030304
0.4532872 0.516657
0.396059 0.452367
0.3029139 0.5501765
0.2614858 1.087334
0.3794728 1.682075
0.4067148 1.67954
0.4332984 1.560719
0.1719394 1.239581
0.4079199 0.6373577
0.5079783 0.4262414
0.3692281 0.3642268
0.3444184 0.5718754
0.3783454 0.6956802
0.2537493 0.7192756
0.2724759 0.6207488
0.4383581 0.7153734
0.4575418 0.8042734
0.385435 0.9694624
0.2671993 0.4421787
0.4329929 0.6358945
0.4460061 1.130853
0.3793393 0.8635554
0.3345628 0.3928182
0.48946 0.4287218
0.4041781 0.2474201
0.2654121 0.2257589
0.3395733 0.2361816
0.2973037 0.1471241
0.4767597 0.1003392
0.4377016 0.1259211
0.3062505 0.1139984
0.3791239 0.07771737
0.355643 0.120219
0.328267 0.08622503
0.2154738 0.1521435
0.3293412 0.2738379
0.2448009 0.7019922
0.3335123 0.5895432
0.3693944 0.3591481
0.2785937 0.2937462
0.4032826 0.3100786
0.3631137 0.1583435
0.259639 0.159557
0.449168 0.2609312
0.3155552 0.193616
0.4550324 0.151991
0.3542008 0.1108952
0.2863012 0.1491442
0.3466559 0.2083841
0.3528801 0.2822759
0.2307518 0.177956
0.2757913 0.1746518
0.3405485 0.2351757
0.4051128 0.1087061
0.5510133 0.1018787
0.2276067 0.1287121
0.4011885 0.1207646
0.4993338 0.06852273
0.261397 0.06914257
0.5584082 0.07397204
0.4546004 0.04094915
0.3878677 0.04213501
0.5887331 0.04417576
0.286647 0.0375436
0.5304312 0.02744567
0.2775049 0.02152838
0.4840616 0.02231436
0.3728594 0.03640319
0.263558 0.050593
0.3226312 0.08216024
0.3105381 0.03923976
0.2162834 0.04088324
0.4464659 0.08067008
0.3095038 0.1250697
0.3262045 0.1021205
0.5971829 0.1038973
0.5772397 0.08931121
0.3368546 0.09573643
0.3644542 0.1298235
0.5399669 0.1094409
0.4210113 0.08625352
0.2866318 0.10921
0.3159652 0.06500251
0.3586661 0.04631056
0.2355632 0.04099789
0.4723015 0.07868026
0.4658435 0.3192888
0.3135216 0.1598179
0.3260088 0.2650583
0.2950909 0.1871246
0.5976176 0.2627216
0.4822225 0.1607583
0.2417669 0.150767
0.4687559 0.1035268
0.517271 0.09110016
0.4020843 0.1224395
0.4492601 0.05600831
0.31055 0.04843011
0.2987515 0.06269376
0.4627321 0.09180727
0.4614599 0.1417575
0.3402023 0.1875339
0.4693606 0.3591223
0.4083725 0.4841505
0.2728089 0.2803815
0.575911 0.264502
0.3601257 0.1401617
0.3603265 0.2017795
0.2436491 0.1670675
0.2342701 0.1629212
0.2982172 0.2088464
0.3071668 0.2260332
0.3966662 0.2379665
0.3082647 0.1484131
0.3873728 0.1213156
0.4344873 0.3245863
0.2325436 0.6243477
0.376589 0.9138086
0.3566358 0.7888855
0.3412562 0.7807443
0.3917978 0.363088
0.3355981 0.6071416
0.4288083 0.5713587
0.4737119 0.5980494
0.3729704 0.5088249
0.2888853 0.8421075
0.5198932 0.2975236
0.4901687 0.3351251
0.4334187 0.4443856
0.351366 0.1626065
0.3710582 0.2996971
0.4046302 0.3678662
0.3890545 0.1216342
0.3141457 0.04001411
0.2826392 0.04155169
0.3840823 0.07404869
0.4467132 0.1006294
0.2360164 0.2614334
0.3318972 0.2857816
0.286973 0.2001107
0.3427398 0.2546505
0.3827354 0.2741115
0.3101092 0.3878143
0.5897651 0.4785683
0.2800523 0.3835653
0.3401815 0.2095357
0.5676419 0.1721881
0.4036362 0.1954289
0.2693105 0.256536
0.1900757 0.2606236
0.3495976 0.414248
0.4125999 0.7708678
0.5094592 0.5406116
0.4031402 0.5678974
0.4128662 0.825758
0.5338039 1.231505
0.5933555 1.981547
0.3323656 3.524817
0.2648405 4.377657
0.4423325 2.512675
0.3467316 2.135339
0.3338698 1.06708
0.3840189 1.284439
0.2972182 0.9745997
0.5307859 0.7530592
0.3628846 0.356473
0.3602695 0.4540691
0.4414056 0.2944901
0.3748855 0.6004979
0.3963528 0.4153677
0.5096497 0.842698
0.1996539 0.7725946
0.265488 1.225498
0.3315025 1.892755
0.3953903 2.084972
0.2304585 2.428028
0.4422088 1.830808
0.2966045 2.185572
0.280558 2.046486
0.3654357 1.234282
0.2736227 0.9620458
0.3496554 0.4137114
0.4168647 0.8059119
0.3799961 0.6734605
0.3486709 0.545981
0.2879093 0.5636976
0.2895452 0.6916498
0.3139679 0.4167765
0.4600436 0.260457
0.4740331 0.2338583
0.2591286 0.2541812
0.5035898 0.1364303
0.284655 0.3149091
0.4075191 0.1241174
0.3668468 0.1071515
0.6647 0.06319993
0.3714631 0.0831919
0.2539915 0.05396982
0.3144221 0.06436441
0.3633535 0.1215503
0.4220229 0.0858831
0.3852002 0.1038127
0.2725022 0.0739011
0.4359578 0.07592542
0.5450224 0.2455284
0.2972564 0.1784347
0.405 0.4942943
0.3868756 0.4162441
0.2680007 0.5172121
0.4730417 0.4939184
0.4508715 0.6064375
0.2468467 0.3462155
0.2014996 0.5374505
0.4422475 0.5757168
0.3205603 0.8343584
0.3298612 0.6484869
0.3058759 1.159072
0.3323597 1.640077
0.3166358 0.8864528
0.3884196 1.146139
0.1954859 0.8655761
0.4867603 0.9218788
0.2383044 1.763952
0.5627064 1.399588
0.4692726 1.491836
0.4338503 2.543782
0.3854435 1.463534
0.3461571 0.7703817
0.4926153 1.507783
0.3513581 1.560723
0.2640832 1.136086
0.4732561 1.176789
0.3382695 0.6984797
0.3264123 0.9586413
0.2291946 0.4877806
0.2490854 0.2552736
0.3300324 0.5922117
0.3717209 0.3425029
0.3307473 0.4896797
0.3718183 0.3037836
0.5071984 0.318357
0.3938174 0.3541299
0.3628312 0.4317506
0.147967 0.7482917
0.4856747 0.4613504
0.2788228 0.3359397
0.2424811 0.8422993
0.3517824 1.563914
0.4600189 1.321858
0.4150056 1.100513
0.3638376 0.627683
0.2820068 0.4284896
0.2955874 0.4456236
0.3735277 0.4722757
0.2333293 0.4653543
0.2792302 0.5118713
0.3916448 0.413377
0.246931 0.3989524
0.4417186 0.7558841
0.5578169 0.6480124
0.3965318 0.6075862
0.4550805 0.4146143
0.4349561 0.3445144
0.3627388 0.1479661
0.4680331 0.1636084
0.302596 0.1561184
0.5270416 0.3451418
0.2690893 0.5852444
0.3617227 0.6786504
0.3585254 0.6609504
0.3360608 0.8832857
0.3319133 0.7382448
0.3036943 0.8363926
0.249403 0.7448128
0.4235101 1.77393
0.3956511 1.737547
0.3318126 1.277747
0.2802628 1.32557
0.2008335 1.234024
0.5850287 0.9308699
0.3674363 0.8542888
0.3214282 1.377394
0.2937782 0.7564965
0.5120133 0.8359405
0.4046606 0.3746476
0.2723759 0.1307989
0.3910498 0.2207149
0.512299 0.4101679
0.4999765 0.7005298
0.4370195 0.9259726
0.4618419 0.7858355
0.3813962 1.347375
0.2984404 0.596684
0.3895079 0.3694953
0.4087903 0.3215499
0.4072289 0.3918877
0.3217448 0.3061671
0.4992038 0.2338071
0.3181067 0.2523769
0.3563977 0.1878847
0.5045263 0.1556906
0.386913 0.14649
0.3255956 0.1071193
0.4830448 0.05090708
0.3859767 0.08388506
0.2494806 0.09867298
0.3278361 0.1629144
0.6236378 0.2109434
0.6097638 0.5085621
0.4881347 0.7444201
0.2966665 0.4862996
0.3428947 0.2492408
0.3850593 0.2714538
0.371187 0.1380135
0.4495602 0.2586958
0.3275407 0.178445
0.3314508 0.1924865
0.2751516 0.09351353
0.5041017 0.1015033
0.370069 0.3781545
0.4243024 0.4016311
0.4028902 0.2113258
0.2526676 0.06945671
0.4188784 0.09196541
0.4488435 0.0805647
0.492984 0.04709283
0.3110476 0.06219353
0.4203398 0.07047936
0.3925693 0.05459914
0.4476536 0.0598231
0.42378 0.07418035
0.4241744 0.1283017
0.4120184 0.177677
0.3287182 0.1738746
0.412604 0.08726783
0.3284412 0.1506531
0.5009217 0.1707295
0.324947 0.1097374
0.2183688 0.09074942
0.4804938 0.1790094
0.3998096 0.12273
0.522511 0.1632198
0.2354353 0.5897374
0.4080116 0.6626987
0.4166648 0.2899066
0.4771566 0.4157774
0.3544285 0.6436272
0.600438 0.3923131
0.2273484 0.3031939
0.557006 0.5075879
0.5190043 0.9036942
0.4992057 1.090916
0.377295 1.815937
0.5653416 0.8726714
0.3852005 0.6048797
0.3618251 1.320272
0.4438926 1.374382
0.2851718 3.20349
0.3869081 2.511865
0.3887796 2.379249
0.3609037 3.379851
0.3212492 2.844696
0.3408787 4.325849
0.364325 2.924291
0.3825453 1.700231
0.3631727 0.9438239
0.3541571 0.6693238
0.4711937 0.410991
0.3438964 0.4144317
0.3547778 0.6381084
0.4267895 0.53504
0.3091869 0.3312006
0.3872932 0.33003
0.5053197 0.2450996
0.202826 0.2513745
0.4073123 0.2712493
0.2959999 0.3585746
0.4830921 0.2385672
0.4947237 0.2345023
0.2987809 0.257206
0.4261026 0.1461957
0.2836397 0.1565309
0.4148059 0.1651574
0.4920687 0.1318035
0.40488 0.2707357
0.4455967 0.3264416
0.1189587 0.3604619
0.3018365 0.1350996
0.4671723 0.2623219
0.3589916 0.2155179
0.4177607 0.1850523
0.5194821 0.4907286
0.4161893 0.3651286
0.227 0.3623441
0.3588375 0.1890683
0.4789996 0.224934
0.3435829 0.2379676
0.4590864 0.2828866
0.3471765 0.3243918
0.3985943 0.391189
0.3681845 0.4019219
0.5918136 0.2920881
0.3620949 0.2057049
0.3273302 0.1089595
0.4220556 0.1257099
0.2585337 0.134969
0.2264373 0.4509108
0.2523047 1.309406
0.3035448 1.390758
0.3077948 2.589923
0.5142615 2.634337
0.4046711 3.098777
0.3256267 2.466095
0.4701419 9.068733
0.4050779 3.984947
0.4584213 5.464387
0.4817697 2.246564
0.5573225 1.590444
0.3996168 3.039609
0.2911286 2.098412
0.5019196 2.484834
0.2457509 1.521505
0.228277 0.8104876
0.4998878 0.8030293
0.3135348 0.7554425
0.6215469 0.2968143
0.2083191 0.4211825
0.2743171 0.6238653
0.4738198 0.4255015
0.2282943 0.2371195
0.4870519 0.2365563
0.4141168 0.3123448
0.3879679 0.1553486
0.3219416 0.1878975
0.3206512 0.188792
0.4139567 0.1941216
0.22809 0.1330454
0.3516861 0.1063767
0.3708784 0.08020649
0.3388776 0.160879
0.5389203 0.7338133
0.2575004 2.092117
0.469952 0.7765049
0.3346608 0.9887174
0.3023535 1.206484
0.3957486 0.8784719
0.3571749 0.5213883
0.2836534 0.405169
0.5048795 0.583415
0.4666866 0.3288476
0.3370679 0.2179075
0.4607138 0.2093514
0.2631916 0.1058984
0.2190209 0.08186508
0.6797781 0.08180104
0.2022384 0.09134093
0.4533998 0.07865209
0.5641013 0.07922367
0.5012418 0.03607145
0.3775451 0.07737566
0.376022 0.07089422
0.2675754 0.06448676
0.6311548 0.1207217
0.49652 0.1140219
0.4429156 0.1754595
0.3456946 0.3117178
0.3532729 0.1641541
0.5031291 0.1614757
0.4701866 0.1253131
0.2797435 0.2745587
0.4675619 0.2023187
0.4518015 0.3335091
0.3367568 0.3179147
0.5612344 0.2178997
0.4391615 0.2236066
0.2664863 0.2283655
0.1939371 0.1830817
0.2847217 0.103601
0.4503532 0.1227441
0.5403219 0.0636241
0.3153405 0.2009847
0.3219262 0.1604855
0.4623761 0.1826703
0.4943982 0.1108773
0.3588613 0.2742832
0.4260969 0.4052483
0.5112187 0.18593
0.271438 0.1586726
0.4364325 0.08821406
0.3504641 0.04516158
0.5532083 0.09008867
0.4287804 0.0859749
0.3987092 0.1899794
0.4360018 0.07438612
0.3003267 0.0549998
0.435776 0.08794934
0.4575892 0.04011284
0.3878819 0.0949218
0.5126088 0.1630349
0.5417043 0.2656107
0.4048827 0.4319898
0.2884558 0.2611091
0.4817611 0.4018565
0.4130248 0.4836698
0.3869067 0.4466665
0.3354174 0.3857
0.4473901 0.6201451
0.4053721 0.3692773
0.4395181 0.5204896
0.4031428 0.6354503
0.3917106 0.8279682
0.2027891 2.527821
0.3464628 2.880917
0.4255643 1.709212
0.462897 0.7167942
0.4694671 0.962437
0.1147539 1.424665
0.4003788 1.705555
0.337125 0.7296205
0.5933609 0.3080636
0.2131365 0.3196862
0.3779892 0.2615144
0.1937136 0.3402467
0.4370474 0.3690911
0.3702273 0.4159817
0.3612 0.5662842
0.3613171 0.3273312
0.274457 0.4236246
0.3295997 0.4267144
0.4260657 0.5925497
0.2369766 0.275618
0.4860625 0.3453696
0.3310864 0.2156601
0.2708059 0.08294827
0.2751773 0.06963767
0.4434602 0.06798322
0.24153 0.05699221
0.3154737 0.07935611
0.3896188 0.08279826
0.4161481 0.03439002
0.4279706 0.02421992
0.442997 0.07642461
0.3921067 0.09247542
0.1747366 0.1010224
0.2500379 0.2214824
0.464565 0.2417462
0.2774384 0.162388
0.3990877 0.4637219
0.3756033 0.4508059
0.2189484 0.7648525
0.4680473 0.5289143
0.3843455 1.00478
0.3887296 1.923807
0.3810099 1.580867
0.3332273 2.058042
0.398637 1.798257
0.4240549 0.5732457
0.4070826 0.3355284
0.2825704 0.09645162
0.2944457 0.03584315
0.5933538 0.04667873
0.3503867 0.1176244
0.3658436 0.1658502
0.3420715 0.1301285
0.4509713 0.1265004
0.2343459 0.2163288
0.2983121 0.2102519
0.5294444 0.2102789
0.2739771 0.1981226
0.4698379 0.3072656
0.2325418 0.286254
0.3100802 0.4579696
0.3270173 0.4699501
0.3255247 0.2854739
0.4009903 0.2124521
0.4499414 0.1329997
0.4244365 0.2745548
0.407879 0.2012275
0.4970237 0.2397149
0.3182699 0.2450463
0.5954299 0.2116303
0.4195027 0.1543954
0.5110024 0.2672247
0.4716503 0.2691747
0.3853795 0.423933
0.2806548 1.018278
0.3208092 0.9808987
0.2685573 2.101714
0.3183076 2.487221
0.4134566 2.394007
0.4919942 2.849524
0.3389504 3.704815
0.4738087 2.683143
0.5254311 2.576156
0.2991688 2.437966
0.1831327 2.444679
0.4093273 1.390258
0.2781612 0.6159611
0.3718315 0.9413877
0.3746034 0.8951884
0.4076003 0.5017278
0.3383859 0.1737564
0.2715238 0.1382724
0.5324537 0.1888956
0.4265245 0.2542134
0.3631855 0.154052
0.4819687 0.09223239
0.4554148 0.1446087
0.33222 0.1510008
0.4151208 0.03781044
0.3125881 0.04954212
0.3802682 0.1091496
0.4750263 0.1273075
0.3595939 0.1245067
0.2692851 0.1806698
0.5013393 0.1074573
0.3294967 0.1647855
0.3430441 0.2400108
0.5374164 0.2588409
0.4290226 0.513307
0.4184734 0.7202418
0.265927 0.3893492
0.2255112 0.2640745
0.4242583 0.2977223
0.3465577 0.2567453
0.3870064 0.291229
0.3106495 0.2249084
0.2696802 0.1690761
0.3475611 0.1198306
0.2655863 0.1989078
0.40199 0.2615503
0.4159393 0.2285087
0.3531356 0.2636954
0.3336464 0.2188068
0.4157138 0.1338981
0.3775814 0.1838704
0.4067759 0.2201011
0.3455971 0.2754671
0.3663442 0.5459956
0.3895598 0.9046122
0.3112062 0.4795668
0.3117515 0.2828999
0.386368 0.1884843
0.4628193 0.1881604
0.3157813 0.5745748
0.2112934 0.7520351
0.359318 1.759532
0.3107977 1.047617
0.3160053 1.224717
0.263815 0.6375134
0.3760213 1.022102
0.5639373 0.7732905
0.4805861 0.3288577
0.3038457 0.619058
0.6028821 1.510472
0.4699369 2.315614
0.2359426 3.004795
0.5765883 2.390051
0.3436587 4.40222
0.2998322 3.676422
0.5692948 3.585669
0.3264217 5.005426
0.5616455 3.220124
0.2720478 2.456732
0.3502734 2.585598
0.5514681 2.97165
0.3424165 4.590352
0.4896943 2.142467
0.3230526 2.84941
0.3367366 4.891257
0.3155151 1.799111
0.4501775 1.256009
0.3555248 1.15671
0.4033349 1.330551
0.2453868 1.086036
0.4621667 1.000603
0.4359353 1.402428
0.3440009 1.026946
0.3205282 0.7718061
0.5248479 1.024559
0.3920158 1.253153
0.3262554 0.9775256
0.3913161 0.4803569
0.5514507 0.1833458
0.3500081 0.1234127
0.3825472 0.2226717
0.4695006 0.2481399
0.418724 0.1728199
0.3579338 0.2983428
0.4246418 0.3326174
0.3728654 0.3911135
0.4542589 0.1169237
0.4169199 0.08481664
0.4462116 0.09853888
0.3112602 0.07927472
